보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,cluster_0,cluster_1,cluster_2,cluster_3
100,27.0,30.0,6.0,3,4,0,35.8206483628293,128.755563274142,1755.0,24.0,32.0,103.0,2270.0,103.0,43.0,1,1,0,,-0.40295342102023846,0.10992102395626376,0,1,0,0
200,37.0,30.0,6.0,3,4,0,35.8200187284765,128.756359970055,1835.0,106.0,71.0,198.0,2369.0,195.0,80.0,1,1,0,,0.08255670578359553,0.1012450060616562,0,1,0,0
100,25.0,29.75,6.0,4,4,0,35.8215617430766,128.757277242413,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0,0,1,0,,0.41002802677830685,-0.20357218886919926,0,0,1,0
100,28.0,29.75,6.0,1,3,0,35.8215678379671,128.755244844025,1650.0,94.0,27.0,99.0,2186.0,56.0,130.0,1,1,0,,-0.5304025230405826,0.17332742066266985,0,1,0,0
100,30.0,33.06,6.0,1,3,0,35.8210304603124,128.755864120309,1717.0,26.0,74.0,126.0,2266.0,94.0,92.0,1,1,0,,-0.36147840692274624,0.005592027551831154,0,1,0,0
100,25.0,29.75,6.0,1,3,0,35.8206883606521,128.756630863439,1766.0,83.0,128.0,197.0,2344.0,123.0,133.0,1,1,0,,0.04592263540309843,-0.0984981838712816,0,1,0,0
100,30.0,33.06,6.0,3,3,0,35.82112807638053,128.7556404472357,1703.0,35.0,68.0,107.0,2243.0,84.0,90.0,1,1,0,,-0.4172672253997855,0.03266562514152715,0,1,0,0
200,40.0,29.7,6.0,3,4,0,35.8236163187539,128.75383494861,1411.0,149.0,187.0,304.0,1953.0,200.0,235.0,0,1,0,,0.46551504947087474,-0.18642962148810702,0,0,1,0
200,30.0,29.75,6.0,2,4,0,35.82024300647532,128.7565149428241,1813.0,96.0,98.0,200.0,2365.0,171.0,99.0,1,1,0,,0.07262206583251807,0.02196665116231027,0,1,0,0
100,30.0,29.75,6.0,2,3,0,35.8216829867977,128.757699478556,1680.0,202.0,219.0,303.0,2363.0,122.0,267.0,0,1,0,,0.5609056115032197,-0.1680083852289806,0,0,1,0
200,35.0,26.44,6.0,2,3,0,35.83862215248308,128.75430837434982,292.0,85.0,65.0,80.0,1807.0,91.0,186.0,0,1,0,,-0.48829694622147973,-0.08804103978674177,1,0,0,0
100,30.0,23.14,7.0,1,3,0,35.8397815652299,128.7522565321,393.0,140.0,124.0,306.0,1688.0,38.0,203.0,1,1,0,,0.004049174917020628,-0.4822641156060282,0,0,1,0
100,30.0,23.14,6.0,4,4,0,35.8394972694711,128.756193307235,468.0,149.0,38.0,100.0,2000.0,38.0,194.0,1,1,0,,-0.5231137723184018,0.14698357750934496,1,0,0,0
100,30.0,26.45,6.0,2,4,0,35.841308593750014,128.75582885742233,620.0,71.0,85.0,210.0,2052.0,49.0,169.0,0,1,0,,-0.3944850032366943,-0.18749831796038163,1,0,0,0
70,25.0,23.14,6.0,2,3,0,35.84035080031026,128.75515212652513,498.0,123.0,25.0,198.0,1951.0,83.0,139.0,0,0,0,,-0.5110285545754799,0.013591816974895832,1,0,0,0
