보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason
500,48.0,49.59,6.0,5,5,True,35.8168060672793,128.760465198952,2271.0,162.0,78.0,614.0,2881.0,43.0,112.0,True,False,True,보증금_high 전용면적_high
300,40.0,49.59,6.0,3,5,True,35.8177068853092,128.756070385532,2085.0,219.0,100.0,262.0,2515.0,184.0,207.0,True,False,True,전용면적_high
500,50.0,46.28,6.0,3,4,True,35.8149696639775,128.755685157312,2383.0,82.0,58.0,250.0,2706.0,148.0,123.0,True,False,True,월세_high 보증금_high 전용면적_high
300,40.0,49.59,6.0,2,4,False,35.8428434782253,128.759058944733,920.0,378.0,179.0,287.0,2389.0,69.0,95.0,True,False,True,전용면적_high
300,40.0,49.59,11.0,2,4,False,35.8220547149775,128.749145423256,1525.0,260.0,170.0,440.0,1729.0,124.0,91.0,True,False,True,전용면적_high
500,50.0,42.98,9.0,7,7,True,35.8413732731002,128.760198707621,871.0,453.0,0.0,145.0,2413.0,134.0,119.0,True,True,True,월세_high 보증금_high
500,73.0,27.51,6.0,7,15,True,35.8336796787994,128.743877290366,258.0,389.0,2.0,749.0,758.0,2.0,148.0,False,False,True,월세_high 보증금_high
200,35.0,49.59,6.0,2,4,False,35.8205025850349,128.75589464686,1775.0,38.0,63.0,137.0,2303.0,136.0,64.0,False,True,True,전용면적_high
200,35.0,49.59,6.0,1,3,False,35.8222168731299,128.755673613317,1584.0,155.0,27.0,179.0,2177.0,28.0,206.0,True,True,True,전용면적_high
300,55.0,33.06,6.0,4,5,True,35.8390348761498,128.757415294553,513.0,260.0,98.0,57.0,2086.0,98.0,154.0,False,True,True,월세_high
200,45.0,49.59,6.0,3,4,False,35.812296765575,128.76104778245,2767.0,118.0,16.0,197.0,3255.0,118.0,69.0,True,True,True,전용면적_high
300,53.0,30.0,6.0,3,4,False,35.8404779001754,128.756894002318,592.0,203.0,26.0,81.0,2100.0,69.0,110.0,False,True,True,월세_high
500,35.0,35.5,6.0,2,4,False,35.8193121595953,128.748654515242,1781.0,177.0,59.0,412.0,1928.0,154.0,36.0,True,False,True,보증금_high
300,50.0,36.36,6.0,2,4,False,35.8392882215571,128.756432833482,465.0,170.0,14.0,92.0,2012.0,14.0,188.0,True,True,True,월세_high
500,45.0,45.0,6.0,3,4,False,35.8456209049899,128.758290432917,1149.0,241.0,80.0,546.0,2488.0,140.0,320.0,True,True,True,보증금_high
500,50.0,27.0,6.0,4,4,False,35.8471093907278,128.761107111628,1416.0,92.0,233.0,566.0,2791.0,429.0,143.0,True,False,True,월세_high 보증금_high
