보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason
300,40.0,26.45,6.0,3,5,True,35.841507849885105,128.7583561188615,764.0,290.0,92.0,145.0,2267.0,36.0,60.0,True,True,False,None
200,35.0,23.14,6.0,3,4,False,35.8401738381707,128.756716863726,556.0,215.0,19.0,63.0,2072.0,102.0,125.0,True,True,False,None
200,35.0,23.14,6.0,2,4,False,35.839650927618,128.75642024702,494.0,171.0,53.0,76.0,2025.0,53.0,168.0,False,True,False,None
200,38.0,26.45,6.0,2,4,False,35.838730296104,128.755171531912,343.0,89.0,34.0,58.0,1884.0,117.0,222.0,True,True,False,None
200,42.0,23.14,6.0,2,4,False,35.8391053339625,128.754777404951,359.0,35.0,85.0,102.0,1865.0,107.0,233.0,True,True,False,None
150,32.0,26.45,7.0,2,3,False,35.8397815652292,128.7522565321,393.0,140.0,124.0,306.0,1688.0,38.0,203.0,False,False,False,None
100,32.0,34.0,6.0,3,4,False,35.8226851105199,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,True,True,False,None
100,32.0,34.0,6.0,4,4,False,35.8226851105199,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,True,True,False,None
100,33.0,30.0,6.0,1,3,False,35.8212893435649,128.756228640919,1694.0,69.0,118.0,163.0,2276.0,55.0,136.0,True,True,False,None
100,30.0,30.0,6.0,1,3,False,35.8212893435649,128.756228640919,1694.0,69.0,118.0,163.0,2276.0,55.0,136.0,True,True,False,None
200,35.0,50.0,6.0,3,3,False,35.8217859014161,128.757655941286,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0,True,True,True,전용면적_high
200,35.0,50.0,6.0,2,3,False,35.8217859014161,128.757655941286,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0,True,True,True,전용면적_high
100,27.0,25.5,6.0,4,4,False,35.8261563251768,128.735757294513,1005.0,101.0,139.0,90.0,760.0,227.0,87.0,True,False,False,None
500,45.0,35.5,6.0,2,4,False,35.8145573028903,128.753895858032,2417.0,241.0,65.0,233.0,2636.0,112.0,97.0,True,False,True,보증금_high
2500,5.0,30.0,6.0,3,3,False,35.82107541791,128.755414459848,1706.0,40.0,53.0,86.0,2230.0,66.0,78.0,True,True,True,월세_low 보증금_high
200,35.0,40.0,6.0,2,4,False,35.8220226163625,128.757742927794,1645.0,226.0,215.0,319.0,2346.0,128.0,292.0,True,True,False,None
