보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,PC3,PC4,cluster
100,27.0,27.0,6.0,3,4,False,35.8234871028861,128.753871606094,1425.0,139.0,173.0,289.0,1964.0,188.0,225.0,True,True,False,,1.3587441098191022,-0.42077087364589,1.5313607992038099,0.9673975885256357,3
100,20.0,26.45,6.0,4,4,False,35.8383906317526,128.764628660042,1087.0,213.0,117.0,311.0,2693.0,105.0,27.0,True,True,False,,1.0610334996941304,1.57108911168208,-0.6543506769910262,-0.21243515170392444,3
100,26.0,40.0,6.0,2,4,False,35.826258389293,128.727637283352,869.0,431.0,87.0,179.0,1032.0,137.0,152.0,True,False,False,,0.2738447680163332,-1.2322322976789557,-1.3919220678508888,0.3998055264314635,2
200,37.0,39.67,6.0,2,4,False,35.8097727727184,128.759394575472,3005.0,119.0,28.0,110.0,3362.0,75.0,135.0,True,True,False,,0.8318101540553451,3.8482115921824405,1.1161406542045225,-0.6047995304545711,3
200,37.0,39.67,6.0,2,4,False,35.8146785529927,128.753589965468,2403.0,215.0,86.0,260.0,2608.0,110.0,94.0,False,False,False,,1.450495873682479,2.15917702914659,0.1605459540764088,-0.14601041382516203,2
200,43.0,23.14,6.0,4,4,False,35.836833084903,128.751867313671,109.0,308.0,26.0,131.0,1535.0,146.0,175.0,True,True,False,,-0.8009961039794324,-0.7638880199626563,-1.2084839214997818,0.7624130881258543,3
200,37.0,26.45,6.0,2,4,False,35.837686182582,128.75208339349,172.0,219.0,53.0,147.0,1583.0,52.0,173.0,True,True,False,,-1.4491769110307302,-0.5587867138735112,-0.5954454381018912,-0.1450866624807543,3
200,37.0,30.0,6.0,2,4,False,35.8372434676927,128.752385623607,116.0,246.0,32.0,96.0,1593.0,105.0,130.0,True,True,False,,-1.2388496629706036,-0.21989145334908303,-1.205387864354698,0.5425399161402026,3
100,35.0,26.45,6.0,1,3,False,35.838167907989295,128.75085440468092,277.0,276.0,81.0,268.0,1498.0,43.0,296.0,True,True,False,,-0.9756428164365022,-1.8140136014567845,0.2870345491082621,-0.7645951510462331,3
200,33.0,23.14,6.0,3,4,False,35.8400589135422,128.756077977503,511.0,158.0,62.0,108.0,2014.0,51.0,184.0,True,True,False,,-1.2695869461297211,0.20027502434617206,0.145408548269412,-0.2754942938161191,3
200,35.0,39.67,6.0,3,3,False,35.8217877144126,128.757655206755,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0,True,True,False,,1.6148504609220942,-0.3964906038322393,2.172947241630577,-0.5846322334650071,3
300,40.0,36.3,6.0,3,4,False,35.8217132856433,128.758129225336,1688.0,238.0,255.0,341.0,2394.0,160.0,302.0,False,True,False,,2.402397927367275,-0.9177100779118297,2.594199528636059,-0.4309452473057725,1
100,28.0,25.5,6.0,2,3,False,35.840482791565,128.753184990027,469.0,148.0,118.0,303.0,1798.0,101.0,89.0,True,False,False,,-0.06928071473391167,-0.0680918801353183,-0.44469821920743485,0.4670726298821926,2
150,28.0,33.06,6.0,3,3,False,35.8416575081029,128.751534717912,610.0,325.0,166.0,497.0,1736.0,70.0,177.0,False,True,False,,0.9967680594486106,-1.4740554951989242,-0.22989874983843075,-0.8685051041949967,1
100,28.0,29.75,6.0,1,3,False,35.8428437694685,128.754380220341,743.0,152.0,177.0,425.0,2023.0,152.0,193.0,True,True,False,,1.1693769676651664,-0.8558619601463818,0.9038434009783222,0.47724826461925773,3
200,35.0,26.45,6.0,2,3,False,35.8388276039833,128.754715952571,329.0,61.0,63.0,74.0,1849.0,117.0,219.0,False,True,False,,-1.3973557868662647,-0.14767263760485802,0.7193810741995531,0.903043490905064,1
200,35.0,20.0,6.0,3,4,False,35.8398100288197,128.762434433632,949.0,241.0,39.0,198.0,2543.0,202.0,68.0,True,True,False,,0.8155009231385788,1.4723566886452812,-1.0660100662680057,1.1216963028591282,3
100,30.0,23.14,6.0,3,3,False,35.8378354646324,128.758334037256,523.0,381.0,84.0,169.0,2127.0,152.0,252.0,True,True,False,,0.3881453363660653,-0.8307809141738399,-0.09550677764365668,-0.1776698418257961,3
100,25.0,26.45,6.0,3,3,False,35.843480016794935,128.74745172266725,938.0,65.0,108.0,901.0,1587.0,39.0,48.0,False,True,False,,0.9852161878484097,-0.4824390742480982,-0.9024937493206472,0.11234785277579958,1
200,35.0,20.0,6.0,1,3,False,35.8391617112148,128.752736367882,321.0,81.0,55.0,233.0,1698.0,63.0,235.0,False,True,False,,-1.4616838321168502,-0.6435962325031465,0.5246397047383607,0.24320590310162313,1
200,35.0,20.0,6.0,1,3,False,35.8394751077968,128.752725003588,356.0,88.0,77.0,252.0,1711.0,53.0,204.0,False,True,False,,-1.2506611698341048,-0.5454399868306734,0.4135841816185778,0.08159506856226623,1
